Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4966,97.2,2.8,12.9,0.00224,0.846,545565616,545.565616,Greenup_Ag_178_F_So,Greenup,178,Ag,F,So,4966,0.000857,66.2,5.092307692,0.00344,1.31,10733,1.0733,71.05246,5.465573846,5.019284,2.349308,Agricultural,Greenup,39.305104,-88.139778,4,29,4966,-88.139778,39.305104
4968,97.4,2.6,14.5,0.00225,0.99,510363140,510.36314,Kansas_Nat_183_F_Co,Kansas,183,Nat,F,Co,4968,0.0244,16.4,1.333333333,0.00516,0.302,11143,1.1143,18.27452,1.485733333,1.18276,0.09582,Natural,Kansas,39.001464,-95.239938,16,27,4968,-95.239938,39.001464
4977,96.9,3.06,13.4,0.00273,0.964,509377154,509.377154,Pontiac_Nat_151_F_Co,Pontiac,151,Nat,F,Co,4977,0.00134,63.6,4.930232558,0.00401,1.99,10789,1.0789,68.61804,5.319227907,5.153896,1.032816,Natural,Pontiac,40.87326997,-88.62446599,13,179,4977,-88.62446599,40.87326997
4979,97.1,2.91,15.3,0.00238,0.724,522436876,522.436876,FoxRidge_Nat_195_M_Co,FoxRidge,195,Nat,M,Co,4979,0.211,28.2,1.944827586,0.0113,1.66E+00,5405,0.5405,15.2421,1.05117931,1.093478,0.170045,Natural,FoxRidge,39.393248,-88.163216,4,55,4979,-88.163216,39.393248
4981,97.5,2.47,14.7,0.00372,1.18,536685622,536.685622,Hernan_Ag_52_F_So,Hernan,52,Ag,F,So,4981,0.000831,46.2,3.447761194,0.0034,2.55,11571,1.1571,53.45802,3.989404478,3.295501,0.757473,Agricultural,Hernan,38.63920603,-91.51230698,9,87,4981,-91.51230698,38.63920603
4982,97.1,2.92,12.1,0.00323,0.81,534269314,534.269314,Prairie_Ag_30_M_Co,Prairie,30,Ag,M,Co,4982,0.0273,13.4,0.8758169935,0.00726,5.28E-06,10658,1.0658,14.28172,0.9334457516,1.134755,0.194258,Agricultural,Prairie,41.35604002,-86.73699299,15,94,4982,-86.73699299,41.35604002
4984,96.9,3.08,11.4,0.00217,0.621,542882189,542.882189,Keysport_Nat_77_M_Co,Keysport,77,Nat,M,Co,4984,0.00733,26.4,1.795918367,0.00701,2.54,11954,1.1954,31.55856,2.146840816,2.408986,0.568212,Natural,Keysport,38.732444,-89.277403,5,142,4984,-89.277403,38.732444
4989,97.1,2.94,13.8,0.00283,0.629,538564334,538.564334,Bradley_Ag_62_M_Co,Bradley,62,Ag,M,Co,4989,0.0019,44.6,3.685950413,0.0058,1.34,10992,1.0992,49.02432,4.051596694,3.399691,0.691865,Agricultural,Bradley,41.16467102,-87.81988903,14,26,4989,-87.81988903,41.16467102
5002,97,2.97,13.5,0.00303,0.77,527485987,527.485987,Blanchard_Nat_71_F_Co,Blanchard,71,Nat,F,Co,5002,0.0273,13.9,1.219298246,0.00873,0.18,11081,1.1081,15.40259,1.351104386,1.079867,0.823221,Natural,Blanchard,41.03727398,-83.81345096,2,25,5002,-83.81345096,41.03727398
5006,97.2,2.8,13.5,0.00482,0.807,559469508,559.469508,Kakanee_Nat_169_F_Wa,Kakanee,169,Nat,F,Wa,5006,0.0139,12.1,0.8768115942,0.00392,1.9,13312,1.3312,16.10752,1.167211594,0.975637,0.09502,Natural,Kakanee,41.15132703,-87.89857297,14,81,5006,-87.89857297,41.15132703
