sample	env	sex	lat	long	year	state
HB0963	Dist	F	43.06736	-79.084574	1995	Ontario
HB0964	Nat	F	38.55	-89.916667	1877	Illinois
HB0965			38.62975	-90.242434	1889	Missouri
HB0966	Nat	F	38.509011	-90.177817	1893	Illinois
HB0967	Nat	F	41.829751	-88.177826	1897	Illinois
HB0968	Nat	F	38.625	-90.16	1902	Illinois
HB0969	Ag	F	38.603097	-90.257021	1912	Missouri
HB0970	Nat	F	42.370872	-88.121862	1925	Illinois
HB0971	Nat	M	38.595548	-90.767735	1927	Missouri
HB0972	Dist	M	38.495758	-90.217877	1927	Illinois
HB0973	Ag	M	38.715451	-90.48898	1930	Missouri
HB0974	Nat	M	38.572701	-90.229642	1933	Missouri
HB0975	Nat	M	40.119754	-88.498602	1940	Illinois
HB0976	Nat	F	40.720818	-89.597212	1962	Illinois
HB0977	Nat	M	41.542549	-83.689433	1967	Ohio
HB0978	Ag	F	38.779167	-89.640556	2005	Illinois
HB0979	Nat	F	38.665567	-90.70705	2009	Missouri
HB0980	Nat		40.634567	-91.179467	2009	Illinois
HB0981	Nat	M	38.911389	-91.592778	2010	Missouri
HB0982	Dist	F	37.923333	-89.893333	2011	Illinois
HB0983	Ag	M	37.204167	-94.344167	1919	Missouri
HB0984		M	45.289379	-75.737232	1892	Ontario
HB0985	Dist	F	45.19477	-75.78076	1955	Ontario
HB0986	Nat	M	45.457179	-75.676253	1954	Ontario
HB0987	Nat	M	47.387012	-77.283366	1921	Ontario
HB0988	Nat	M	43.035303	-79.897787	1951	Ontario
HB0989	Nat	F	41.93464	-82.505179	1988	Ontario
HB0990	Nat	M	41.683999	-82.682764	1998	Ontario
HB0991	Nat	F	45.13414	-74.575361	1964	Ontario
HB0992	Nat	F	45.046655	-76.230997	1949	Ontario
HB0993	Dist	M	42.957915	-82.393943	1960	Ontario
HB0994	Nat	M	44.486839	-77.458612	1937	Ontario
HB0995	Nat		44.951292	-75.483802	1960	Ontario
HB0997	Nat	F	42.847407	-79.555433	1988	Ontario
HB0998	Dist	M	44.988422	-74.996022	1958	Ontario
HB0999	Nat	M	41.683999	-82.682764	1938	Ontario
HB1000	Dist	F	42.468738	-82.407807	1934	Ontario
HB1001	Nat	M	43.352835	-80.316045	1939	Ontario
HB1002		F	42.77177	-81.197887	1918	Ontario
HB1003	Ag	F	43.455939	-80.290772	1961	Ontario
HB1004	Nat		42.959472	-81.309866	1828	Ontario
HB1005	Nat	M	42.980389	-81.344198	1828	Ontario
HB1006	Ag	M	43.455939	-80.290772	1961	Ontario
HB1007	Nat	F	43.030996	-81.349254	1966	Ontario
HB1008		M	42.950068	-81.435938	1828	Ontario
HB1009	Nat	F	43.892294	-81.312444	1903	Ontario
HB1010	Dist	M	41.640523	-87.626446	1906	Illinois
HB1011	Dist	M	41.864251	-88.103346	1894	Illinois
J8	Ag		38.84678	-88.70412	2015	Illinois
J1	Ag		38.84678	-88.70412	2015	Illinois
4_13	Ag		42.165	-82.7575	2015	Essex
B16	Ag		39.76047	-90.01332	2015	Illinois
6_3	Ag		42.16472	-82.75139	2015	Essex
18_11	Ag		42.57389	-82.48917	2015	Walpole
N1_1	Nat		42.75516	-81.47353	2015	Nat
H10	Ag		38.70276	-89.81303	2015	Illinois
F4	Ag		37.40355	-89.38954	2015	Illinois
27_5	Ag		42.56944	-82.48861	2015	Walpole
J11	Ag		38.84678	-88.70412	2015	Illinois
27_2	Ag		42.56944	-82.48861	2015	Walpole
5_15	Ag		42.16528	-82.75667	2015	Essex
15_11	Ag		42.62056	-82.49472	2015	Walpole
15_10	Ag		42.62056	-82.49472	2015	Walpole
D6	Ag		40.23445	-90.68532	2015	Illinois
15_6	Ag		42.62056	-82.49472	2015	Walpole
4_8	Ag		42.165	-82.7575	2015	Essex
5_16	Ag		42.16528	-82.75667	2015	Essex
J9	Ag		38.84678	-88.70412	2015	Illinois
17_9	Ag		42.56028	-82.51444	2015	Walpole
D10	Ag		40.23445	-90.68532	2015	Illinois
K3	Ag		39.22823	-94.8038	2015	Missouri
5_7	Ag		42.16528	-82.75667	2015	Essex
16_2	Ag		42.5575	-82.5075	2015	Walpole
9_11	Ag		42.16417	-82.73944	2015	Essex
F12	Ag		37.40355	-89.38954	2015	Illinois
17_3	Ag		42.56028	-82.51444	2015	Walpole
F13	Ag		37.40355	-89.38954	2015	Illinois
K2	Ag		39.22823	-94.8038	2015	Missouri
B3	Ag		39.76047	-90.01332	2015	Illinois
